match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
3912599,2023-10-08,14:00:00.000,0,2,available,unscheduled,2024-09-16T22:11:22.149833,,2,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,965,Brighton & Hove Albion WFC,female,,68,England,972,West Ham United LFC,female,,68,England,1,Regular Season,1001076,Broadfield Stadium,68,England,898.0,Amy Fearn,68.0,England,Melissa Phillips,Rehanne Skinner,1002160,Melissa Phillips,,,68,England,5389,Rehanne Skinner,,1979-11-13,68,England,1.1.0,2,2
3913131,2024-02-04,16:00:00.000,1,1,available,unscheduled,2024-08-05T15:31:16.544862,,13,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,966,Liverpool WFC,female,,68,England,749,Tottenham Hotspur Women,female,,68,England,1,Regular Season,579,Prenton Park,68,England,1005310.0,Lauren Impey,68.0,England,Matt Beard,Robert Vilahamn,139,Matt Beard,,1978-01-09,68,England,1000768,Robert Vilahamn,,1983-01-02,220,Sweden,1.1.0,2,2
3913137,2024-02-18,14:00:00.000,0,1,available,unscheduled,2024-08-05T15:13:48.545925,,14,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,965,Brighton & Hove Albion WFC,female,,68,England,966,Liverpool WFC,female,,68,England,1,Regular Season,4494,Broadfield Stadium,68,England,1007190.0,Phoebe Cross,68.0,England,Mikey Harris,Matt Beard,1002375,Mikey Harris,,1984-09-23,68,England,139,Matt Beard,,1978-01-09,68,England,1.1.0,2,2
3913174,2024-04-28,20:45:00.000,0,4,available,unscheduled,2024-07-23T04:59:14.225495,,20,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,973,Bristol City WFC,female,,68,England,746,Manchester City WFC,female,,68,England,1,Regular Season,32,Ashton Gate,68,England,833.0,Cheryl Foster,249.0,Wales,Lauren Smith,Gareth Taylor,1000983,Lauren Smith,,,249,Wales,5115,Gareth Taylor,,1973-02-25,249,Wales,1.1.0,2,2
3913186,2024-05-18,17:00:00.000,0,4,available,unscheduled,2024-05-20T10:08:23.924222,,22,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,2652,Leicester City WFC,female,,68,England,966,Liverpool WFC,female,,68,England,1,Regular Season,20,King Power Stadium ,68,England,1000757.0,Constantine Hatzidakis,68.0,England,Willie Kirk,Matt Beard,639,Willie Kirk,,1978-06-07,201,Scotland,139,Matt Beard,,1978-01-09,68,England,1.1.0,2,2
3913185,2024-05-18,17:00:00.000,5,0,available,unscheduled,2024-05-19T23:05:02.821062,,22,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,968,Arsenal WFC,female,,68,England,965,Brighton & Hove Albion WFC,female,,68,England,1,Regular Season,456,Meadow Park ,68,England,1005310.0,Lauren Impey,68.0,England,Jonas Eidevall,Mikey Harris,1771,Jonas Eidevall,,1983-01-28,220,Sweden,1002375,Mikey Harris,,1984-09-23,68,England,1.1.0,2,2
3913180,2024-05-05,20:45:00.000,8,0,available,unscheduled,2024-05-09T12:50:05.609782,,21,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,971,Chelsea FCW,female,,68,England,973,Bristol City WFC,female,,68,England,1,Regular Season,132,Kingsmeadow,68,England,1005338.0,Stacey Fullicks,68.0,England,Emma Hayes,Lauren Smith,152,Emma Hayes,,1976-10-18,68,England,1000983,Lauren Smith,,,249,Wales,1.1.0,2,2
3913181,2024-05-04,14:00:00.000,2,2,available,unscheduled,2024-05-08T23:55:40.299678,,21,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,967,Everton LFC,female,,68,England,749,Tottenham Hotspur Women,female,,68,England,1,Regular Season,4989,Walton Hall Park,68,England,1005310.0,Lauren Impey,68.0,England,Brian Sørensen,Robert Vilahamn,1002151,Brian Sørensen,,1980-06-15,61,Denmark,1000768,Robert Vilahamn,,1983-01-02,220,Sweden,1.1.0,2,2
3913171,2024-04-28,14:00:00.000,0,1,available,unscheduled,2026-04-11T13:02:22.348528,,20,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,2652,Leicester City WFC,female,,68,England,1475,Manchester United W,female,,68,England,1,Regular Season,20,King Power Stadium ,68,England,1008272.0,Megan Wilson,68.0,England,Willie Kirk,Marc Skinner,639,Willie Kirk,,1978-06-07,201,Scotland,128,Marc Skinner,,1983-03-23,68,England,1.1.0,2,2
3913168,2024-04-21,15:15:00.000,5,0,available,unscheduled,2024-04-22T05:59:14.405042,,19,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,746,Manchester City WFC,female,,68,England,972,West Ham United LFC,female,,68,England,1,Regular Season,99,Joie Stadium,68,England,937.0,Abigail Byrne,68.0,England,Gareth Taylor,Rehanne Skinner,5115,Gareth Taylor,,1973-02-25,249,Wales,5389,Rehanne Skinner,,1979-11-13,68,England,1.1.0,2,2
