player_id,player,position,team,position_group
17524,Jennifer Patricia Beattie,Center Back,Arsenal WFC,Defender
15575,Gabrielle George,Left Back,Manchester United W,Defender
31936,Kristie Mewis,Center Attacking Midfield,West Ham United LFC,Midfielder
25612,Jessie Alexandra Fleming,Center Attacking Midfield,Chelsea FCW,Midfielder
15709,Megan Walsh,Goalkeeper,West Ham United LFC,Goalkeeper
4651,Demi Stokes,Left Back,Manchester City WFC,Defender
402025,Linyan Zhang,Center Forward,Tottenham Hotspur Women,Forward
422963,Lily Dent,Left Wing,Brighton & Hove Albion WFC,Forward
365118,Fearne Slocombe,Right Wing Back,Bristol City WFC,Defender
25697,Lina Mona Andréa Hurtig,Left Wing,Arsenal WFC,Forward
322143,Sophia Poor,Goalkeeper,Aston Villa W,Goalkeeper
225020,Melina Loeck,Goalkeeper,Brighton & Hove Albion WFC,Goalkeeper
24461,Shuang Wang,Left Midfield,Tottenham Hotspur Women,Midfielder
77717,Olivia McLoughlin,Left Center Midfield,Aston Villa W,Midfielder
46641,Emily Ramsey,Goalkeeper,Everton LFC,Goalkeeper
423420,Isabella Hobson,Center Forward,Everton LFC,Forward
410041,Alyssa Mae Aherne,Center Forward,Everton LFC,Forward
16393,Ellie Brazil,Right Wing,Tottenham Hotspur Women,Forward
33010,Freya Gregory,Left Back,Aston Villa W,Defender
46742,Benedicte Håland,Goalkeeper,Bristol City WFC,Goalkeeper
62951,Aniek Nouwen,Right Center Back,Chelsea FCW,Defender
16389,Jessica Woolley,Right Center Forward,Bristol City WFC,Forward
87188,Dejana Stefanović,Right Wing,Brighton & Hove Albion WFC,Forward
276896,Nicky Evrard,Goalkeeper,Brighton & Hove Albion WFC,Goalkeeper
338201,Michelle Agyemang,Left Midfield,Arsenal WFC,Midfielder
326622,Tianna Teisar,Center Forward,Bristol City WFC,Forward
322325,Keira Flannery,Right Center Midfield,West Ham United LFC,Midfielder
338202,Katie Reid,Right Center Back,Arsenal WFC,Defender
353151,Annie Wilding,Right Center Back,Everton LFC,Defender
423419,Macy Settle,Right Wing,Everton LFC,Forward
422964,Grace Lucy McEwan,Left Center Back,Brighton & Hove Albion WFC,Defender
410047,Jessica Simpson,Right Center Back,Bristol City WFC,Defender
429638,Mia Leath,Left Center Midfield,Liverpool WFC,Midfielder
425870,Olivia Johnson,Right Wing,Brighton & Hove Albion WFC,Forward
432915,Zara Shaw,Center Defensive Midfield,Liverpool WFC,Midfielder
410668,Denny Draper,Right Wing,Leicester City WFC,Forward
412877,Jessica Stapleton,Left Center Back,West Ham United LFC,Defender
417523,Maya Kendall,Left Wing,Bristol City WFC,Forward
